GENEID	SYMBOL	GENETYPE
ENSG00000175756.13	AURKAIP1	protein_coding
ENSG00000223663.2	NDUFB4P8	processed_pseudogene
ENSG00000221978.12	CCNL2	protein_coding
ENSG00000224870.7	MRPL20-AS1	lncRNA
ENSG00000242485.6	MRPL20	protein_coding
ENSG00000272455.1	AL391244.2	lncRNA
ENSG00000235098.8	ANKRD65	protein_coding
ENSG00000179403.12	VWA1	protein_coding
ENSG00000215915.10	ATAD3C	protein_coding
ENSG00000160072.20	ATAD3B	protein_coding
ENSG00000284740.1	AL645728.2	transcribed_unprocessed_pseudogene
ENSG00000197785.14	ATAD3A	protein_coding
ENSG00000205090.9	TMEM240	protein_coding
ENSG00000160075.12	SSU72	protein_coding
ENSG00000215014.5	AL645728.1	lncRNA
ENSG00000228594.4	FNDC10	protein_coding
ENSG00000286989.1	AL691432.4	lncRNA
ENSG00000272106.1	AL691432.2	lncRNA
ENSG00000197530.12	MIB2	protein_coding
ENSG00000189409.14	MMP23B	protein_coding
ENSG00000248333.8	CDK11B	protein_coding
ENSG00000272004.1	FO704657.1	lncRNA
ENSG00000189339.12	SLC35E2B	protein_coding
ENSG00000269737.2	AL691432.1	transcribed_processed_pseudogene
ENSG00000215914.4	MMP23A	unprocessed_pseudogene
ENSG00000008128.23	CDK11A	protein_coding
ENSG00000268575.1	AL031282.2	lncRNA
ENSG00000227775.3	AL031282.1	transcribed_processed_pseudogene
ENSG00000215790.7	SLC35E2A	protein_coding
ENSG00000008130.15	NADK	protein_coding
ENSG00000078369.18	GNB1	protein_coding
ENSG00000231050.1	AL109917.1	lncRNA
ENSG00000169885.10	CALML6	protein_coding
ENSG00000142609.18	CFAP74	protein_coding
ENSG00000233542.2	AL391845.2	lncRNA
ENSG00000187730.9	GABRD	protein_coding
ENSG00000226969.1	AL391845.1	lncRNA
ENSG00000067606.17	PRKCZ	protein_coding
ENSG00000271806.1	AL590822.2	lncRNA
ENSG00000182873.5	PRKCZ-AS1	lncRNA
ENSG00000162585.17	FAAP20	protein_coding
ENSG00000157933.10	SKI	protein_coding
ENSG00000287356.1	AL590822.3	lncRNA
ENSG00000116151.14	MORN1	protein_coding
ENSG00000272161.1	AL589739.1	lncRNA
ENSG00000269896.2	AL513477.1	transcribed_processed_pseudogene
ENSG00000272420.1	AL513477.2	lncRNA
ENSG00000157916.20	RER1	protein_coding
ENSG00000157911.10	PEX10	protein_coding
ENSG00000149527.18	PLCH2	protein_coding
ENSG00000224387.1	AL139246.1	lncRNA
ENSG00000229393.1	AL139246.4	lncRNA
ENSG00000157881.15	PANK4	protein_coding
ENSG00000272449.2	AL139246.5	lncRNA
ENSG00000238164.6	TNFRSF14-AS1	lncRNA
ENSG00000157873.17	TNFRSF14	protein_coding
ENSG00000225931.3	AL139246.2	TEC
ENSG00000228037.1	AL139246.3	lncRNA
ENSG00000157870.16	PRXL2B	protein_coding
ENSG00000142606.16	MMEL1	protein_coding
ENSG00000215912.12	TTC34	protein_coding
ENSG00000169717.7	ACTRT2	protein_coding
ENSG00000177133.11	PRDM16-DT	lncRNA
ENSG00000142611.17	PRDM16	protein_coding
ENSG00000279839.1	AL512383.1	TEC
ENSG00000272235.1	AL590438.1	lncRNA
ENSG00000286518.1	AL354743.1	lncRNA
ENSG00000130762.15	ARHGEF16	protein_coding
ENSG00000162591.16	MEGF6	protein_coding
ENSG00000207776.1	MIR551A	miRNA
ENSG00000238260.1	AL513320.1	lncRNA
ENSG00000158109.15	TPRG1L	protein_coding
ENSG00000116213.16	WRAP73	protein_coding
ENSG00000078900.15	TP73	protein_coding
ENSG00000227589.1	AL136528.1	lncRNA
ENSG00000227372.12	TP73-AS1	transcribed_unitary_pseudogene
ENSG00000162592.10	CCDC27	protein_coding
ENSG00000235169.8	SMIM1	protein_coding
ENSG00000130764.10	LRRC47	protein_coding
ENSG00000266075.2	RN7SL574P	misc_RNA
ENSG00000272153.1	AL365330.1	lncRNA
ENSG00000116198.13	CEP104	protein_coding
ENSG00000169598.15	DFFB	protein_coding
ENSG00000198912.11	C1orf174	protein_coding
ENSG00000236423.6	LINC01134	lncRNA
ENSG00000233304.7	LINC01346	lncRNA
ENSG00000226374.3	LINC01345	lncRNA
ENSG00000284668.2	LINC02780	lncRNA
ENSG00000284703.1	AL805961.1	lncRNA
ENSG00000235054.4	LINC01777	lncRNA
ENSG00000284694.1	AL355602.1	lncRNA
ENSG00000232596.3	LINC01646	lncRNA
ENSG00000196581.11	AJAP1	protein_coding
ENSG00000287586.1	Z98886.1	lncRNA
ENSG00000284692.2	Z98259.3	lncRNA
ENSG00000260972.1	Z98259.1	lncRNA
ENSG00000236948.2	AL365255.1	lncRNA
ENSG00000264101.1	MIR4689	miRNA
ENSG00000131697.18	NPHP4	protein_coding
ENSG00000069424.15	KCNAB2	protein_coding
ENSG00000116254.18	CHD5	protein_coding
ENSG00000285629.1	AL031847.2	protein_coding
ENSG00000226944.1	AL031847.1	lncRNA
ENSG00000158286.13	RNF207	protein_coding
ENSG00000116237.16	ICMT	protein_coding
ENSG00000225077.3	LINC00337	lncRNA
ENSG00000173673.8	HES3	protein_coding
ENSG00000158292.7	GPR153	protein_coding
ENSG00000097021.19	ACOT7	protein_coding
ENSG00000271746.1	AL031848.2	lncRNA
ENSG00000069812.11	HES2	protein_coding
ENSG00000187017.17	ESPN	protein_coding
ENSG00000231868.1	AL031848.1	lncRNA
ENSG00000215788.10	TNFRSF25	protein_coding
ENSG00000171680.22	PLEKHG5	protein_coding
ENSG00000162408.11	NOL9	protein_coding
ENSG00000204859.13	ZBTB48	protein_coding
ENSG00000162413.16	KLHL21	protein_coding
ENSG00000116273.6	PHF13	protein_coding
ENSG00000041988.15	THAP3	protein_coding
ENSG00000007923.16	DNAJC11	protein_coding
ENSG00000237436.1	CAMTA1-DT	lncRNA
ENSG00000171735.19	CAMTA1	protein_coding
ENSG00000237402.1	CAMTA1-IT1	lncRNA
ENSG00000270171.1	AL359881.3	lncRNA
ENSG00000270035.1	AL359881.2	lncRNA
ENSG00000269978.1	AL359881.1	lncRNA
ENSG00000049245.13	VAMP3	protein_coding
ENSG00000269925.1	Z98884.2	lncRNA
ENSG00000049246.14	PER3	protein_coding
ENSG00000236266.1	Z98884.1	lncRNA
ENSG00000049247.13	UTS2	protein_coding
ENSG00000049249.8	TNFRSF9	protein_coding
ENSG00000270330.1	AL009183.1	processed_pseudogene
ENSG00000116288.13	PARK7	protein_coding
ENSG00000284747.1	AL034417.5	lncRNA
ENSG00000284716.1	AL034417.4	lncRNA
ENSG00000116285.13	ERRFI1	protein_coding
ENSG00000238290.1	AL034417.3	lncRNA
ENSG00000232848.1	AL034417.2	processed_pseudogene
ENSG00000162426.14	SLC45A1	protein_coding
ENSG00000142599.19	RERE	protein_coding
ENSG00000232912.6	RERE-AS1	lncRNA
ENSG00000221083.1	AL096855.1	snoRNA
ENSG00000222511.2	AL357552.1	misc_RNA
ENSG00000228423.2	AL357552.3	lncRNA
ENSG00000074800.16	ENO1	protein_coding
ENSG00000274258.1	MIR6728	miRNA
ENSG00000230679.1	ENO1-AS1	lncRNA
ENSG00000201725.1	RNU6-304P	snRNA
ENSG00000238249.2	HMGN2P17	processed_pseudogene
ENSG00000232208.2	AL139415.1	processed_pseudogene
ENSG00000131686.15	CA6	protein_coding
ENSG00000265141.2	RN7SL451P	misc_RNA
ENSG00000197241.3	SLC2A7	protein_coding
ENSG00000142583.18	SLC2A5	protein_coding
ENSG00000180758.12	GPR157	protein_coding
ENSG00000228526.7	MIR34AHG	lncRNA
ENSG00000234546.4	LNCTAM34A	lncRNA
ENSG00000049239.12	H6PD	protein_coding
ENSG00000171621.14	SPSB1	protein_coding
ENSG00000284652.1	BX323043.1	lncRNA
ENSG00000284693.1	LINC02606	lncRNA
ENSG00000171612.7	SLC25A33	protein_coding
ENSG00000231181.1	AL954705.1	processed_pseudogene
ENSG00000188807.13	TMEM201	protein_coding
ENSG00000171608.16	PIK3CD	protein_coding
ENSG00000179840.5	PIK3CD-AS1	lncRNA
ENSG00000231789.2	PIK3CD-AS2	lncRNA
ENSG00000171603.18	CLSTN1	protein_coding
ENSG00000271264.1	MZT1P1	processed_pseudogene
ENSG00000280113.2	AL357140.3	TEC
ENSG00000178585.15	CTNNBIP1	protein_coding
ENSG00000285701.1	AL357140.4	lncRNA
ENSG00000162441.12	LZIC	protein_coding
ENSG00000228150.1	AL357140.2	lncRNA
ENSG00000173614.14	NMNAT1	protein_coding
ENSG00000202415.1	RN7SKP269	misc_RNA
ENSG00000283611.2	TMEM274P	unitary_pseudogene
ENSG00000265521.1	MIR5697	miRNA
ENSG00000162444.12	RBP7	protein_coding
ENSG00000130939.20	UBE4B	protein_coding
ENSG00000233623.2	PGAM1P11	processed_pseudogene
ENSG00000201746.1	RNU6-828P	snRNA
ENSG00000054523.17	KIF1B	protein_coding
ENSG00000264881.1	AL358013.1	miRNA
ENSG00000199562.1	RNU6-37P	snRNA
ENSG00000284735.1	AL139424.3	lncRNA
ENSG00000284642.1	AL139424.2	lncRNA
ENSG00000142657.21	PGD	protein_coding
ENSG00000271989.1	AL139424.1	lncRNA
ENSG00000175279.22	CENPS	protein_coding
ENSG00000241563.3	CORT	protein_coding
ENSG00000160049.12	DFFA	protein_coding
ENSG00000203469.2	AL354956.1	lncRNA
ENSG00000142655.13	PEX14	protein_coding
ENSG00000243267.3	RN7SL614P	misc_RNA
ENSG00000130940.15	CASZ1	protein_coding
ENSG00000272078.1	AL139423.1	lncRNA
ENSG00000175262.14	C1orf127	protein_coding
ENSG00000215785.2	CFL1P6	processed_pseudogene
ENSG00000120948.17	TARDBP	protein_coding
ENSG00000009724.17	MASP2	protein_coding
ENSG00000271895.2	AL109811.2	lncRNA
ENSG00000116649.10	SRM	protein_coding
ENSG00000171824.14	EXOSC10	protein_coding
ENSG00000226849.1	AL109811.1	lncRNA
ENSG00000230337.1	EXOSC10-AS1	lncRNA
ENSG00000198793.13	MTOR	protein_coding
ENSG00000225602.5	MTOR-AS1	lncRNA
ENSG00000171819.5	ANGPTL7	protein_coding
ENSG00000120942.13	UBIAD1	protein_coding
ENSG00000204624.8	DISP3	protein_coding
ENSG00000116661.11	FBXO2	protein_coding
ENSG00000132879.14	FBXO44	protein_coding
ENSG00000116663.11	FBXO6	protein_coding
ENSG00000116670.15	MAD2L2	protein_coding
ENSG00000162490.7	DRAXIN	protein_coding
ENSG00000177674.16	AGTRAP	protein_coding
ENSG00000215910.7	C1orf167	protein_coding
ENSG00000177553.6	C1orf167-AS1	lncRNA
ENSG00000177000.13	MTHFR	protein_coding
ENSG00000011021.23	CLCN6	protein_coding
ENSG00000175206.10	NPPA	protein_coding
ENSG00000285646.2	AL021155.5	lncRNA
ENSG00000201801.1	RNU5E-4P	snRNA
ENSG00000116685.16	KIAA2013	protein_coding
ENSG00000083444.17	PLOD1	protein_coding
ENSG00000287384.1	AL096840.3	lncRNA
ENSG00000116688.17	MFN2	protein_coding
ENSG00000116691.11	MIIP	protein_coding
ENSG00000120949.15	TNFRSF8	protein_coding
ENSG00000028137.19	TNFRSF1B	protein_coding
ENSG00000263676.1	MIR4632	miRNA
ENSG00000048707.15	VPS13D	protein_coding
ENSG00000239149.1	SNORA59A	snoRNA
ENSG00000229484.1	LINC02766	lncRNA
ENSG00000162496.9	DHRS3	protein_coding
ENSG00000221340.1	RNU6ATAC18P	snRNA
ENSG00000276830.1	MIR6730	miRNA
ENSG00000272482.1	AC254633.1	lncRNA
ENSG00000188984.12	AADACL3	protein_coding
ENSG00000157330.10	C1orf158	protein_coding
ENSG00000116726.4	PRAMEF12	protein_coding
ENSG00000239810.3	PRAMEF11	protein_coding
ENSG00000179172.9	HNRNPCL1	protein_coding
ENSG00000275774.3	HNRNPCL2	protein_coding
ENSG00000279804.2	PRAMEF18	protein_coding
ENSG00000204480.8	PRAMEF19	protein_coding
ENSG00000162493.16	PDPN	protein_coding
ENSG00000237445.2	AL359771.1	lncRNA
ENSG00000253085.1	AL359771.2	scaRNA
ENSG00000116731.22	PRDM2	protein_coding
ENSG00000189337.17	KAZN	protein_coding
ENSG00000231606.2	AL357873.1	lncRNA
ENSG00000234593.3	KAZN-AS1	lncRNA
ENSG00000287756.1	AL031293.1	lncRNA
ENSG00000175147.13	TMEM51-AS1	lncRNA
ENSG00000171729.14	TMEM51	protein_coding
ENSG00000204464.7	C1orf195	lncRNA
ENSG00000215720.4	AL035405.1	processed_pseudogene
ENSG00000278480.1	AL391094.1	processed_pseudogene
ENSG00000142621.19	FHAD1	protein_coding
ENSG00000233485.1	FHAD1-AS1	lncRNA
ENSG00000236045.1	AL031283.2	lncRNA
ENSG00000228140.2	AL031283.1	lncRNA
ENSG00000142634.13	EFHD2	protein_coding
ENSG00000162438.12	CTRC	protein_coding
ENSG00000142615.8	CELA2A	protein_coding
ENSG00000215704.10	CELA2B	protein_coding
ENSG00000132906.18	CASP9	protein_coding
ENSG00000116138.13	DNAJC16	protein_coding
ENSG00000251866.1	SCARNA21B	scaRNA
ENSG00000272510.1	AL121992.3	lncRNA
ENSG00000116771.6	AGMAT	protein_coding
ENSG00000237301.1	AL121992.1	lncRNA
ENSG00000235084.3	CHCHD2P6	processed_pseudogene
ENSG00000197312.12	DDI2	protein_coding
ENSG00000116786.13	PLEKHM2	protein_coding
ENSG00000162461.8	SLC25A34	protein_coding
ENSG00000162460.7	TMEM82	protein_coding
ENSG00000162458.13	FBLIM1	protein_coding
ENSG00000233954.6	UQCRHL	protein_coding
ENSG00000178715.8	AL450998.1	processed_pseudogene
ENSG00000179743.4	AL450998.2	lncRNA
ENSG00000065526.12	SPEN	protein_coding
ENSG00000116809.11	ZBTB17	protein_coding
ENSG00000234607.2	AL355994.4	processed_pseudogene
ENSG00000183888.4	SRARP	protein_coding
ENSG00000186510.12	CLCNKA	protein_coding
ENSG00000142627.13	EPHA2	protein_coding
ENSG00000142632.17	ARHGEF19	protein_coding
ENSG00000237276.8	ANO7L1	transcribed_unprocessed_pseudogene
ENSG00000288398.1	AL109627.1	lncRNA
ENSG00000132881.12	CPLANE2	protein_coding
ENSG00000233929.1	MT1XP1	processed_pseudogene
ENSG00000037637.11	FBXO42	protein_coding
ENSG00000055070.17	SZRD1	protein_coding
ENSG00000187144.11	SPATA21	protein_coding
ENSG00000157191.20	NECAP2	protein_coding
ENSG00000226029.1	LINC01772	lncRNA
ENSG00000080947.15	CROCCP3	transcribed_unprocessed_pseudogene
ENSG00000206652.1	RNU1-1	snRNA
ENSG00000261135.1	AL137802.2	lncRNA
ENSG00000233421.4	LINC01783	lncRNA
ENSG00000225710.1	AL355149.1	unprocessed_pseudogene
ENSG00000219481.10	NBPF1	protein_coding
ENSG00000215908.10	CROCCP2	transcribed_unprocessed_pseudogene
ENSG00000186301.8	MST1P2	unprocessed_pseudogene
ENSG00000207513.1	RNU1-3	snRNA
ENSG00000280114.1	AL021920.2	unprocessed_pseudogene
ENSG00000236698.1	EIF1AXP1	processed_pseudogene
ENSG00000268869.6	ESPNP	transcribed_unprocessed_pseudogene
ENSG00000279151.1	AL021920.1	lncRNA
ENSG00000058453.17	CROCC	protein_coding
ENSG00000227684.2	CROCCP4	transcribed_unprocessed_pseudogene
ENSG00000207389.1	RNU1-4	snRNA
ENSG00000186715.11	MST1L	transcribed_unprocessed_pseudogene
ENSG00000230239.1	BX284668.3	unprocessed_pseudogene
ENSG00000228549.4	BX284668.2	lncRNA
ENSG00000238142.2	BX284668.5	lncRNA
ENSG00000235241.1	BX284668.4	processed_pseudogene
ENSG00000207005.1	RNU1-2	snRNA
ENSG00000272426.1	BX284668.6	lncRNA
ENSG00000117122.14	MFAP2	protein_coding
ENSG00000286898.1	AL049569.2	lncRNA
ENSG00000226526.1	AL049569.1	lncRNA
ENSG00000159363.18	ATP13A2	protein_coding
ENSG00000117118.10	SDHB	protein_coding
ENSG00000117115.13	PADI2	protein_coding
ENSG00000204362.6	LINC02783	lncRNA
ENSG00000282843.1	AL590644.1	lncRNA
ENSG00000142623.11	PADI1	protein_coding
ENSG00000142619.4	PADI3	protein_coding
ENSG00000159339.13	PADI4	protein_coding
ENSG00000276747.1	PADI6	protein_coding
ENSG00000179051.14	RCC2	protein_coding
ENSG00000074964.17	ARHGEF10L	protein_coding
ENSG00000236648.2	LINC02810	lncRNA
ENSG00000117148.8	ACTL8	protein_coding
ENSG00000284653.1	AL357509.1	lncRNA
ENSG00000117154.12	IGSF21	protein_coding
ENSG00000280222.1	AL365209.1	TEC
ENSG00000179023.8	KLHDC7A	protein_coding
ENSG00000009709.12	PAX7	protein_coding
ENSG00000179002.5	TAS1R2	protein_coding
ENSG00000159423.17	ALDH4A1	protein_coding
ENSG00000221662.1	MIR1290	miRNA
ENSG00000169991.11	IFFO2	protein_coding
ENSG00000272084.1	AL137127.1	lncRNA
ENSG00000127481.15	UBR4	protein_coding
ENSG00000230424.1	EMC1-AS1	lncRNA
ENSG00000127463.15	EMC1	protein_coding
ENSG00000053372.5	MRTO4	protein_coding
ENSG00000286064.1	AL035413.2	unprocessed_pseudogene
ENSG00000211454.14	AKR7L	polymorphic_pseudogene
ENSG00000162482.5	AKR7A3	protein_coding
ENSG00000270728.1	AL035413.1	processed_pseudogene
ENSG00000053371.12	AKR7A2	protein_coding
ENSG00000200403.1	RNU6-1099P	snRNA
ENSG00000040487.13	SLC66A1	protein_coding
ENSG00000077549.18	CAPZB	protein_coding
ENSG00000240490.3	RN7SL277P	misc_RNA
ENSG00000173436.15	MICOS10	protein_coding
ENSG00000158747.14	NBL1	protein_coding
ENSG00000270136.6	MICOS10-NBL1	protein_coding
ENSG00000226396.1	AL031727.1	processed_pseudogene
ENSG00000158748.4	HTR6	protein_coding
ENSG00000162542.13	TMCO4	protein_coding
ENSG00000169914.6	OTUD3	protein_coding
ENSG00000242688.3	RN7SL304P	misc_RNA
ENSG00000188257.11	PLA2G2A	protein_coding
ENSG00000127472.11	PLA2G5	protein_coding
ENSG00000117215.15	PLA2G2D	protein_coding
ENSG00000158786.4	PLA2G2F	protein_coding
ENSG00000227066.2	Z98257.1	lncRNA
ENSG00000187980.6	PLA2G2C	protein_coding
ENSG00000225986.1	UBXN10-AS1	lncRNA
ENSG00000162543.6	UBXN10	protein_coding
ENSG00000284710.1	Z98257.2	lncRNA
ENSG00000158816.15	VWA5B1	protein_coding
ENSG00000226664.1	AL020998.1	lncRNA
ENSG00000236963.7	LINC01141	lncRNA
ENSG00000162545.6	CAMK2N1	protein_coding
ENSG00000090432.7	MUL1	protein_coding
ENSG00000158825.6	CDA	protein_coding
ENSG00000158828.8	PINK1	protein_coding
ENSG00000117242.7	PINK1-AS	lncRNA
ENSG00000244038.9	DDOST	protein_coding
ENSG00000117245.12	KIF17	protein_coding
ENSG00000189410.12	SH2D5	protein_coding
ENSG00000127483.19	HP1BP3	protein_coding
ENSG00000075151.20	EIF4G3	protein_coding
ENSG00000221808.1	MIR1256	miRNA
ENSG00000236073.2	AL627311.1	processed_pseudogene
ENSG00000287192.1	AL031005.2	lncRNA
ENSG00000117298.16	ECE1	protein_coding
ENSG00000236936.1	AL031005.1	lncRNA
ENSG00000231105.2	ECE1-AS1	lncRNA
ENSG00000227001.3	NBPF2P	unprocessed_pseudogene
ENSG00000187952.9	HS6ST1P1	processed_pseudogene
ENSG00000142794.18	NBPF3	protein_coding
ENSG00000162551.14	ALPL	protein_coding
ENSG00000233431.1	LINC02596	lncRNA
ENSG00000076864.19	RAP1GAP	protein_coding
ENSG00000090686.16	USP48	protein_coding
ENSG00000187942.12	LDLRAD2	protein_coding
ENSG00000142798.20	HSPG2	protein_coding
ENSG00000232037.3	AL590556.1	processed_pseudogene
ENSG00000283234.1	AL590556.2	transcribed_unitary_pseudogene
ENSG00000228397.3	LINC01635	lncRNA
ENSG00000218510.8	LINC00339	lncRNA
ENSG00000070831.17	CDC42	protein_coding
ENSG00000285752.1	CDC42-AS1	lncRNA
ENSG00000230068.2	CDC42-IT1	lncRNA
ENSG00000271428.1	AL031281.1	processed_pseudogene
ENSG00000162552.15	WNT4	protein_coding
ENSG00000285873.1	AL445253.1	lncRNA
ENSG00000184677.18	ZBTB40	protein_coding
ENSG00000237200.1	ZBTB40-IT1	lncRNA
ENSG00000070886.12	EPHA8	protein_coding
ENSG00000173372.17	C1QA	protein_coding
ENSG00000159189.12	C1QC	protein_coding
ENSG00000173369.16	C1QB	protein_coding
ENSG00000133216.16	EPHB2	protein_coding
ENSG00000265422.1	MIR4684	miRNA
ENSG00000215906.8	LACTBL1	protein_coding
ENSG00000227868.6	TEX46	protein_coding
ENSG00000004487.16	KDM1A	protein_coding
ENSG00000263793.1	MIR3115	miRNA
ENSG00000169641.13	LUZP1	protein_coding
ENSG00000229010.1	AL161672.1	processed_pseudogene
ENSG00000179546.4	HTR1D	protein_coding
ENSG00000261326.4	LINC01355	lncRNA
ENSG00000125944.20	HNRNPR	protein_coding
ENSG00000125945.15	ZNF436	protein_coding
ENSG00000249087.7	ZNF436-AS1	lncRNA
ENSG00000271420.1	AL109936.3	lncRNA
ENSG00000204219.11	TCEA3	protein_coding
ENSG00000088280.19	ASAP3	protein_coding
ENSG00000007968.7	E2F2	protein_coding
ENSG00000235052.1	AL021154.1	lncRNA
ENSG00000117318.9	ID3	protein_coding
ENSG00000285802.1	AL450043.1	lncRNA
ENSG00000197880.8	MDS2	lncRNA
ENSG00000229239.2	AL451000.1	unprocessed_pseudogene
ENSG00000236810.6	ELOA-AS1	lncRNA
ENSG00000011007.12	ELOA	protein_coding
ENSG00000057757.10	PITHD1	protein_coding
ENSG00000011009.11	LYPLA2	protein_coding
ENSG00000117308.15	GALE	protein_coding
ENSG00000117305.15	HMGCL	protein_coding
ENSG00000179163.11	FUCA1	protein_coding
ENSG00000188822.8	CNR2	protein_coding
ENSG00000229106.1	BTBD6P1	processed_pseudogene
ENSG00000230228.2	H3P1	processed_pseudogene
ENSG00000189266.13	PNRC2	protein_coding
ENSG00000188529.15	SRSF10	protein_coding
ENSG00000142661.19	MYOM3	protein_coding
ENSG00000142677.4	IL22RA1	protein_coding
ENSG00000185436.12	IFNLR1	protein_coding
ENSG00000230023.2	LINC02800	lncRNA
ENSG00000232298.2	GRHL3-AS1	lncRNA
ENSG00000158055.15	GRHL3	protein_coding
ENSG00000001460.18	STPG1	protein_coding
ENSG00000001461.17	NIPAL3	protein_coding
ENSG00000286061.1	RCAN3AS	lncRNA
ENSG00000117602.12	RCAN3	protein_coding
ENSG00000264443.1	NCMAP-DT	lncRNA
ENSG00000184454.7	NCMAP	protein_coding
ENSG00000133226.17	SRRM1	protein_coding
ENSG00000284699.1	AL445648.1	lncRNA
ENSG00000169504.15	CLIC4	protein_coding
ENSG00000020633.18	RUNX3	protein_coding
ENSG00000278034.1	MIR6731	miRNA
ENSG00000229162.1	AL445471.1	lncRNA
ENSG00000261025.1	AL445471.2	lncRNA
ENSG00000264371.1	MIR4425	miRNA
ENSG00000285823.1	LINC02793	lncRNA
ENSG00000233755.1	AL050344.1	lncRNA
ENSG00000233419.3	AL121994.1	processed_pseudogene
ENSG00000117614.10	SYF2	protein_coding
ENSG00000284602.1	AL031432.4	lncRNA
ENSG00000284657.1	AL031432.5	lncRNA
ENSG00000117616.18	RSRP1	protein_coding
ENSG00000272432.1	AL031432.3	lncRNA
ENSG00000261349.1	AL031432.2	unprocessed_pseudogene
ENSG00000187010.21	RHD	protein_coding
ENSG00000224183.1	SDHDP6	processed_pseudogene
ENSG00000259984.1	AL928711.1	unprocessed_pseudogene
ENSG00000183726.11	TMEM50A	protein_coding
ENSG00000188672.18	RHCE	protein_coding
ENSG00000238084.4	AL031284.1	processed_pseudogene
ENSG00000204178.11	MACO1	protein_coding
ENSG00000157978.12	LDLRAP1	protein_coding
ENSG00000225643.1	AL606491.1	lncRNA
ENSG00000117643.14	MAN1C1	protein_coding
ENSG00000162430.17	SELENON	protein_coding
ENSG00000228172.5	AL020996.1	lncRNA
ENSG00000117640.18	MTFR1L	protein_coding
ENSG00000127423.10	AUNIP	protein_coding
ENSG00000236528.1	AL033528.3	lncRNA
ENSG00000182749.5	PAQR7	protein_coding
ENSG00000117632.23	STMN1	protein_coding
ENSG00000158006.14	PAFAH2	protein_coding
ENSG00000158008.10	EXTL1	protein_coding
ENSG00000158022.6	TRIM63	protein_coding
ENSG00000175087.10	PDIK1L	protein_coding
